Quarterly Results,Stockname,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Depreciation,MARUTI,,744,757,641,648,652,723,1209,1240,1314,1342,1302,1298,1332
Profit before tax,MARUTI,,596,610,1252,2239,1347,2679,3027,3341,3269,4892,4156,5108,4836
Tax %,MARUTI,,20%,20%,17%,16%,23%,21%,21%,20%,22%,23%,23%,23%,22%
Net Profit,MARUTI,,475,487,1042,1876,1036,2112,2406,2688,2543,3786,3207,3952,3760
EPS in Rs,MARUTI,,15.72,16.12,34.49,62.10,34.30,69.93,79.65,88.97,84.18,125.33,102.00,125.71,119.58
Raw PDF,MARUTI,,,,,,,,,,,,,,
Sales,MAZDOCK,,1214,1570,1552,1396,2230,1702,1816,2079,2173,1828,2362,3104,2357
Expenses,MAZDOCK,,1144,1485,1351,1319,2057,1585,1520,1868,2001,1651,1823,2580,1715
Operating Profit,MAZDOCK,,70,85,202,77,174,118,296,211,172,177,539,524,642
OPM %,MAZDOCK,,6%,5%,13%,6%,8%,7%,16%,10%,8%,10%,23%,17%,27%
Other Income,MAZDOCK,,74,90,103,129,136,164,176,211,233,251,269,349,271
Interest,MAZDOCK,,2,2,2,1,1,1,1,2,1,1,1,1,1
Depreciation,MAZDOCK,,17,17,17,23,18,18,18,20,20,20,20,23,23
Profit before tax,MAZDOCK,,125,156,286,182,290,261,452,400,383,407,786,849,889
Tax %,MAZDOCK,,26%,20%,30%,20%,25%,25%,25%,26%,25%,25%,25%,26%,25%
Net Profit,MAZDOCK,,102,135,215,159,225,214,354,326,314,333,627,663,696
EPS in Rs,MAZDOCK,,5.04,6.69,10.67,7.88,11.14,10.61,17.56,16.17,15.59,16.50,31.08,32.87,34.51
Raw PDF,MAZDOCK,,,,,,,,,,,,,,
Sales,METROBRAND,318,,314,476,396,497,463,577,527,556,532,624,578,563
Expenses,METROBRAND,230,,223,309,268,316,320,373,385,361,371,426,412,383
Operating Profit,METROBRAND,88,,92,167,128,181,143,204,142,194,161,198,166,180
OPM %,METROBRAND,28%,,29%,35%,32%,36%,31%,35%,27%,35%,30%,32%,29%,32%
Other Income,METROBRAND,10,,17,12,13,9,12,15,17,16,18,15,25,23
Interest,METROBRAND,12,,12,12,15,13,15,17,18,18,19,20,20,21
Depreciation,METROBRAND,30,,34,34,35,39,41,49,48,50,54,59,58,60
Profit before tax,METROBRAND,56,,63,133,92,138,99,153,93,142,106,133,113,123
Tax %,METROBRAND,20%,,20%,24%,27%,25%,25%,25%,29%,25%,25%,28%,-46%,25%
Net Profit,METROBRAND,45,,50,100,68,103,74,115,66,106,79,96,165,92
EPS in Rs,METROBRAND,1.69,,1.89,3.69,2.49,3.80,2.72,4.22,2.44,3.91,2.92,3.52,6.05,3.40
Raw PDF,METROBRAND,,,,,,,,,,,,,,
Sales,MOLDTECH,,22.64,23.42,23.75,28.53,28.87,34.73,40.71,42.56,36.68,40.07,41.75,42.24,39.29
Expenses,MOLDTECH,,17.14,18.38,21.23,21.71,23.90,24.59,27.53,28.58,27.68,27.69,30.71,32.69,31.81
Operating Profit,MOLDTECH,,5.50,5.04,2.52,6.82,4.97,10.14,13.18,13.98,9.00,12.38,11.04,9.55,7.48
OPM %,MOLDTECH,,24.29%,21.52%,10.61%,23.90%,17.22%,29.20%,32.38%,32.85%,24.54%,30.90%,26.44%,22.61%,19.04%
Other Income,MOLDTECH,,0.16,1.19,0.87,0.63,0.49,0.32,0.40,0.71,1.06,0.43,0.32,0.62,1.15
Interest,MOLDTECH,,0.10,0.09,0.08,0.10,0.13,0.14,0.13,0.27,0.18,0.23,0.31,0.21,0.21
Depreciation,MOLDTECH,,1.18,1.13,1.04,1.04,1.14,1.20,1.19,1.17,1.43,1.62,1.67,1.66,1.66
Profit before tax,MOLDTECH,,4.38,5.01,2.27,6.31,4.19,9.12,12.26,13.25,8.45,10.96,9.38,8.30,6.76
Tax %,MOLDTECH,,25.57%,27.15%,26.87%,25.36%,26.25%,24.89%,24.96%,23.70%,25.68%,25.82%,25.27%,22.65%,23.22%
Net Profit,MOLDTECH,,3.26,3.66,1.67,4.71,3.10,6.85,9.21,10.11,6.28,8.13,7.01,6.42,5.18
EPS in Rs,MOLDTECH,,1.16,1.30,0.59,1.67,1.10,2.43,3.26,3.58,2.21,2.86,2.47,2.26,1.81
Raw PDF,MOLDTECH,,,,,,,,,,,,,,
Sales,MOLDTKPAC,,134,160,160,178,208,183,155,185,186,170,165,177,197
Expenses,MOLDTKPAC,,108,128,129,146,171,148,126,149,151,138,135,141,161
Operating Profit,MOLDTKPAC,,25,32,32,32,37,34,28,36,35,32,30,36,36
OPM %,MOLDTKPAC,,19%,20%,20%,18%,18%,19%,18%,19%,19%,19%,18%,20%,18%
Other Income,MOLDTKPAC,,0,0,0,1,0,0,0,1,1,1,0,0,1
Interest,MOLDTKPAC,,3,3,3,1,1,1,1,1,2,2,2,2,3
Depreciation,MOLDTKPAC,,6,7,7,7,7,7,7,8,9,10,9,10,12
Profit before tax,MOLDTKPAC,,17,23,22,25,29,26,21,27,25,21,19,24,22
Tax %,MOLDTKPAC,,27%,23%,25%,30%,26%,26%,21%,15%,24%,26%,25%,24%,26%
Net Profit,MOLDTKPAC,,12,18,17,17,22,19,16,23,19,16,14,18,17
EPS in Rs,MOLDTKPAC,,4.32,6.24,5.51,5.54,6.55,5.86,4.92,6.94,5.65,4.73,4.28,5.41,4.97
Raw PDF,MOLDTKPAC,,,,,,,,,,,,,,
Sales,MOTHERSON,,16157,14076,16118,17241,17615,18302,20267,22517,22462,23474,25644,27058,28868
Expenses,MOTHERSON,,14937,13133,15050,15985,16538,16864,18665,20481,20538,21585,23328,24124,26093
Operating Profit,MOTHERSON,,1220,944,1067,1256,1077,1438,1602,2036,1925,1889,2316,2935,2775
OPM %,MOTHERSON,,8%,7%,7%,7%,6%,8%,8%,9%,9%,8%,9%,11%,10%
Other Income,MOTHERSON,,253,237,275,37,99,-46,80,35,76,-10,172,161,179
Interest,MOTHERSON,,121,131,129,161,169,184,149,278,253,488,620,450,444
Depreciation,MOTHERSON,,751,737,733,736,732,749,815,840,839,867,1016,1088,1065
Profit before tax,MOTHERSON,,601,312,479,396,274,460,718,953,909,523,851,1557,1445
Tax %,MOTHERSON,,26%,27%,21%,67%,34%,37%,30%,27%,29%,44%,26%,7%,24%
Net Profit,MOTHERSON,,446,227,378,130,182,288,501,699,648,294,633,1444,1097
EPS in Rs,MOTHERSON,,0.61,0.46,0.52,0.18,0.21,0.36,0.67,0.97,0.89,0.30,0.80,2.02,1.47
Raw PDF,MOTHERSON,,,,,,,,,,,,,,
Sales,MTARTECH,,54.03,91.30,78.10,98.58,91.01,126.18,160.17,196.40,152.56,166.84,118.38,142.97,128.26
Expenses,MTARTECH,,39.55,61.86,55.29,70.87,66.06,91.25,115.12,147.34,118.03,130.75,94.52,124.74,111.65
Operating Profit,MTARTECH,,14.48,29.44,22.81,27.71,24.95,34.93,45.05,49.06,34.53,36.09,23.86,18.23,16.61
OPM %,MTARTECH,,26.80%,32.25%,29.21%,28.11%,27.41%,27.68%,28.13%,24.98%,22.63%,21.63%,20.16%,12.75%,12.95%
Other Income,MTARTECH,,2.59,2.57,1.15,2.44,3.81,5.37,5.75,4.55,4.10,0.85,0.48,0.38,0.53
Interest,MTARTECH,,1.18,1.39,1.52,2.57,2.39,2.68,3.89,5.62,5.73,5.47,5.60,5.51,4.79
Depreciation,MTARTECH,,3.34,3.52,3.70,3.75,4.16,4.63,4.86,5.02,5.62,5.79,5.85,5.91,6.14
Profit before tax,MTARTECH,,12.55,27.10,18.74,23.83,22.21,32.99,42.05,42.97,27.28,25.68,12.89,7.19,6.21
Tax %,MTARTECH,,30.60%,29.70%,29.03%,16.91%,26.97%,25.19%,25.21%,27.69%,25.44%,20.37%,18.93%,32.27%,28.66%
Net Profit,MTARTECH,,8.71,19.05,13.31,19.80,16.22,24.69,31.45,31.07,20.34,20.46,10.45,4.87,4.43
EPS in Rs,MTARTECH,,2.83,6.19,4.33,6.44,5.27,8.03,10.22,10.10,6.61,6.65,3.40,1.58,1.44
Raw PDF,MTARTECH,,,,,,,,,,,,,,
Sales,MUFTI,,,,,,,142.70,130.50,132.79,118.49,165.62,150.14,133.08,123.89
Expenses,MUFTI,,,,,,,91.47,87.57,92.16,88.24,108.80,107.63,102.14,90.52
Operating Profit,MUFTI,,,,,,,51.23,42.93,40.63,30.25,56.82,42.51,30.94,33.37
OPM %,MUFTI,,,,,,,35.90%,32.90%,30.60%,25.53%,34.31%,28.31%,23.25%,26.94%
Other Income,MUFTI,,,,,,,0.94,0.97,7.57,0.94,1.18,1.05,1.46,1.20
Interest,MUFTI,,,,,,,4.10,5.10,4.76,5.37,5.63,6.66,6.40,6.08
Depreciation,MUFTI,,,,,,,13.17,12.78,14.39,14.51,15.39,16.18,16.11,15.43
Profit before tax,MUFTI,,,,,,,34.90,26.02,29.05,11.31,36.98,20.72,9.89,13.06
Tax %,MUFTI,,,,,,,25.47%,25.60%,25.37%,24.14%,24.34%,24.81%,28.51%,25.11%
Net Profit,MUFTI,,,,,,,26.01,19.37,21.68,8.58,27.97,15.59,7.07,9.77
EPS in Rs,MUFTI,,,,,,,80.90,60.25,67.43,1.33,4.35,2.42,1.10,1.51
Raw PDF,MUFTI,,,,,,,,,,,,,,
Revenue,MUTHOOTFIN,,2956,3052,3156,3021,2788,2825,3010,3275,3472,3606,3820,4164,4474
Interest,MUTHOOTFIN,,1086,1077,1061,1032,1051,1020,1047,1091,1236,1335,1412,1447,1595
Expenses,MUTHOOTFIN,,553,620,692,636,624,596,715,829,847,805,872,1121,1226
Financing Profit,MUTHOOTFIN,,1317,1355,1403,1353,1113,1208,1248,1355,1389,1467,1536,1596,1653
Financing Margin %,MUTHOOTFIN,,45%,44%,44%,45%,40%,43%,41%,41%,40%,41%,40%,38%,37%
Other Income,MUTHOOTFIN,,8,13,12,20,16,17,21,23,37,26,23,16,19
Depreciation,MUTHOOTFIN,,15,16,18,21,17,18,20,23,19,22,24,27,26
Profit before tax,MUTHOOTFIN,,1310,1352,1397,1352,1112,1207,1249,1355,1407,1470,1534,1585,1646
Tax %,MUTHOOTFIN,,25%,26%,25%,26%,26%,25%,25%,26%,26%,26%,25%,25%,27%
Net Profit,MUTHOOTFIN,,979,1003,1044,1006,825,902,934,1009,1045,1095,1145,1182,1196
EPS in Rs,MUTHOOTFIN,,24.37,24.97,25.91,24.84,20.41,22.22,23.11,24.25,25.46,26.39,27.49,28.37,28.99
Gross NPA %,MUTHOOTFIN,,,,,,,,,,,,,,
Net NPA %,MUTHOOTFIN,,,,,,,,,,,,,,
Raw PDF,MUTHOOTFIN,,,,,,,,,,,,,,
Sales,NAUKRI,,327,364,421,473,547,604,590,605,626,626,627,657,677
Expenses,NAUKRI,,325,329,304,402,519,558,435,497,445,496,444,453,467
Operating Profit,NAUKRI,,3,35,117,71,29,47,155,107,181,130,183,204,210
OPM %,NAUKRI,,1%,10%,28%,15%,5%,8%,26%,18%,29%,21%,29%,31%,31%
Other Income,NAUKRI,,203,8315,4801,701,327,123,-34,-533,64,212,38,-11,154
Interest,NAUKRI,,1,1,1,1,1,3,1,1,4,8,5,6,6
Depreciation,NAUKRI,,12,13,11,12,15,17,20,20,24,26,26,26,26
Profit before tax,NAUKRI,,193,8336,4905,760,339,149,99,-447,217,308,190,162,332
Tax %,NAUKRI,,19%,12%,6%,5%,14%,37%,53%,13%,32%,22%,37%,46%,22%
Net Profit,NAUKRI,,155,7369,4633,720,292,94,46,-503,147,240,119,88,259
EPS in Rs,NAUKRI,,11.83,572.37,357.33,48.83,13.87,7.99,-9.02,-21.12,12.28,15.88,11.68,4.67,18.00
Raw PDF,NAUKRI,,,,,,,,,,,,,,
Sales,NAVINFLUOR,,327,339,379,409,398,419,564,697,491,472,500,602,524
Expenses,NAVINFLUOR,,249,255,280,315,298,325,408,495,377,373,424,492,423
Operating Profit,NAVINFLUOR,,78,84,99,94,99,94,156,202,114,98,76,110,100
OPM %,NAVINFLUOR,,24%,25%,26%,23%,25%,22%,28%,29%,23%,21%,15%,18%,19%
Other Income,NAVINFLUOR,,9,10,7,12,11,11,10,4,8,23,64,13,10
Interest,NAVINFLUOR,,0,0,0,1,0,4,9,14,19,20,18,17,16
Depreciation,NAVINFLUOR,,12,12,12,12,12,18,25,8,21,24,25,26,27
Profit before tax,NAVINFLUOR,,74,82,94,94,97,83,131,184,82,77,97,79,68
Tax %,NAVINFLUOR,,25%,23%,26%,20%,24%,30%,19%,26%,25%,22%,20%,11%,25%
Net Profit,NAVINFLUOR,,56,63,69,75,74,58,107,136,62,61,78,70,51
EPS in Rs,NAVINFLUOR,,11.29,12.77,13.88,15.17,15.02,11.67,21.50,27.50,12.41,12.22,15.74,14.19,10.32
Raw PDF,NAVINFLUOR,,,,,,,,,,,,,,
Sales,NAZARA,,131,130,186,175,223,264,315,289,254,297,320,266,250
Expenses,NAZARA,,106,111,157,162,193,250,285,262,221,271,284,265,226
Operating Profit,NAZARA,,25,19,29,13,30,14,30,27,33,27,36,2,24
OPM %,NAZARA,,19%,15%,16%,7%,13%,5%,10%,9%,13%,9%,11%,1%,10%
Other Income,NAZARA,,5,6,4,10,7,24,12,6,12,14,18,21,26
Interest,NAZARA,,0,0,0,0,0,1,0,3,1,3,2,1,1
Depreciation,NAZARA,,8,9,11,11,14,10,15,16,15,15,15,22,15
Profit before tax,NAZARA,,21,16,22,11,23,26,26,14,28,23,37,0,34
Tax %,NAZARA,,36%,3%,24%,55%,27%,34%,23%,33%,26%,-6%,21%,-200%,31%
Net Profit,NAZARA,,14,15,17,5,16,17,20,9,21,24,30,0,24
EPS in Rs,NAZARA,,0.87,1.71,1.58,0.34,1.75,1.55,2.49,0.39,2.95,3.00,3.51,1.11,2.96
Raw PDF,NAZARA,,,,,,,,,,,,,,
Sales,NEOGEN,,85,113,133,157,148,148,186,204,165,162,164,200,180
Expenses,NEOGEN,,69,93,109,130,123,124,156,171,137,136,144,164,149
Operating Profit,NEOGEN,,16,21,24,27,25,24,30,33,28,26,20,36,31
OPM %,NEOGEN,,18%,18%,18%,17%,17%,16%,16%,16%,17%,16%,12%,18%,17%
Other Income,NEOGEN,,0,0,0,1,1,0,1,2,2,2,2,2,2
Interest,NEOGEN,,4,4,6,5,6,7,7,9,11,11,11,10,10
Depreciation,NEOGEN,,2,2,4,4,4,4,4,4,5,6,6,6,7
Profit before tax,NEOGEN,,10,14,14,19,16,14,21,21,14,11,6,22,16
Tax %,NEOGEN,,28%,22%,24%,17%,29%,29%,29%,31%,28%,28%,81%,25%,27%
Net Profit,NEOGEN,,7,11,10,16,11,10,15,14,10,8,1,17,11
EPS in Rs,NEOGEN,,3.15,4.79,4.48,6.27,4.45,3.96,5.89,5.74,3.91,3.18,0.40,6.42,4.35
Raw PDF,NEOGEN,,,,,,,,,,,,,,
Sales,NESTLEIND,,3477,3883,3748,3993,4046,4602,4257,4831,4659,5037,4600,5268,4814
Expenses,NESTLEIND,,2629,2935,2889,3072,3231,3598,3284,3735,3603,3812,3505,3919,3700
Operating Profit,NESTLEIND,,848,948,859,921,815,1004,973,1095,1056,1225,1095,1349,1114
OPM %,NESTLEIND,,24%,24%,23%,23%,20%,22%,23%,23%,23%,24%,24%,26%,23%
Other Income,NESTLEIND,,29,34,-209,21,19,31,30,34,24,140,-77,37,39
Interest,NESTLEIND,,52,52,44,36,37,37,45,37,33,31,23,26,32
Depreciation,NESTLEIND,,95,96,106,105,102,98,99,102,107,111,109,109,113
Profit before tax,NESTLEIND,,730,834,500,802,695,899,859,990,939,1222,886,1251,1009
Tax %,NESTLEIND,,26%,26%,24%,26%,27%,26%,27%,26%,26%,26%,26%,25%,26%
Net Profit,NESTLEIND,,539,617,379,591,510,661,628,737,698,908,656,934,747
EPS in Rs,NESTLEIND,,5.59,6.40,3.94,6.13,5.29,6.86,6.51,7.64,7.24,9.42,6.80,9.69,7.74
Raw PDF,NESTLEIND,,,,,,,,,,,,,,
Sales,NETWEB,,,,,,69,74,179,123,60,145,253,266,149
Expenses,NETWEB,,,,,,60,60,147,108,51,126,219,225,129
Operating Profit,NETWEB,,,,,,9,13,31,15,9,19,34,40,20
OPM %,NETWEB,,,,,,14%,18%,17%,12%,14%,13%,14%,15%,13%
Other Income,NETWEB,,,,,,0,0,0,1,0,3,5,4,4
Interest,NETWEB,,,,,,1,1,1,1,1,1,2,3,1
Depreciation,NETWEB,,,,,,1,1,1,1,1,1,2,2,2
Profit before tax,NETWEB,,,,,,8,12,29,14,7,20,35,40,21
Tax %,NETWEB,,,,,,26%,25%,25%,26%,25%,25%,26%,26%,25%
Net Profit,NETWEB,,,,,,6,9,22,11,5,15,26,30,15
EPS in Rs,NETWEB,,,,,,9.91,16.14,38.32,2.07,0.98,2.70,4.64,5.26,2.74
Raw PDF,NETWEB,,,,,,,,,,,,,,
Sales,PAGEIND,,502,1084,1190,1111,1341,1228,1200,965,1229,1125,1229,992,1278
Expenses,PAGEIND,,467,851,939,844,1043,990,1007,830,991,892,999,828,1034
Operating Profit,PAGEIND,,34,233,251,267,298,238,193,134,239,234,230,164,243
OPM %,PAGEIND,,7%,22%,21%,24%,22%,19%,16%,14%,19%,21%,19%,17%,19%
Other Income,PAGEIND,,4,5,7,5,3,3,2,7,5,2,6,14,13
Interest,PAGEIND,,7,7,8,10,9,9,10,14,13,11,10,10,12
Depreciation,PAGEIND,,16,17,17,16,18,19,20,21,21,25,23,23,22
Profit before tax,PAGEIND,,15,215,233,246,275,213,164,107,210,199,202,145,222
Tax %,PAGEIND,,25%,25%,25%,23%,25%,24%,25%,26%,25%,25%,25%,25%,26%
Net Profit,PAGEIND,,11,160,175,191,207,162,124,78,158,150,152,108,165
EPS in Rs,PAGEIND,,9.82,143.89,156.51,170.81,185.62,145.36,110.93,70.24,141.98,134.73,136.59,97.01,148.13
Raw PDF,PAGEIND,,,,,,,,,,,,,,
Sales,PARAS,,24,50,46,61,41,56,61,65,48,61,64,80,84
Expenses,PARAS,,18,35,34,44,30,42,47,48,38,46,52,67,59
Operating Profit,PARAS,,6,15,13,18,11,14,14,17,11,16,12,12,24
OPM %,PARAS,,25%,30%,28%,29%,28%,25%,23%,26%,22%,25%,19%,15%,29%
Other Income,PARAS,,0,0,1,1,1,1,5,1,1,1,1,6,1
Interest,PARAS,,2,2,1,2,0,1,4,2,1,1,2,2,2
Depreciation,PARAS,,3,2,3,3,3,3,3,3,3,3,3,3,4
Profit before tax,PARAS,,1,11,10,14,9,12,13,13,8,12,8,12,20
Tax %,PARAS,,35%,25%,23%,28%,27%,30%,29%,8%,26%,28%,30%,21%,28%
Net Profit,PARAS,,1,8,8,10,7,8,9,12,6,9,6,10,14
EPS in Rs,PARAS,,0.33,2.07,1.97,2.64,1.81,2.17,2.50,2.76,1.54,2.42,1.71,2.56,3.81
Raw PDF,PARAS,,,,,,,,,,,,,,
Sales,PERSISTENT,,1230,1351,1492,1638,1878,2049,2169,2254,2321,2412,2498,2591,2737
Expenses,PERSISTENT,,1028,1127,1241,1357,1545,1681,1768,1838,1947,2007,2056,2136,2282
Operating Profit,PERSISTENT,,202,224,251,281,333,368,402,416,374,405,442,454,455
OPM %,PERSISTENT,,16%,17%,17%,17%,18%,18%,19%,18%,16%,17%,18%,18%,17%
Other Income,PERSISTENT,,39,32,31,42,21,8,3,9,22,37,38,31,31
Interest,PERSISTENT,,2,2,3,5,8,11,14,15,13,12,12,10,14
Depreciation,PERSISTENT,,35,37,43,51,65,69,68,70,76,74,79,80,71
Profit before tax,PERSISTENT,,203,218,236,267,282,296,323,341,307,356,389,395,401
Tax %,PERSISTENT,,26%,26%,25%,25%,25%,26%,26%,26%,25%,26%,26%,20%,24%
Net Profit,PERSISTENT,,151,162,176,201,212,220,238,252,229,263,286,315,306
EPS in Rs,PERSISTENT,,9.89,10.58,11.54,13.15,13.84,14.39,15.56,16.45,14.86,17.11,18.59,20.47,19.89
Raw PDF,PERSISTENT,,,,,,,,,,,,,,
Sales,PIDILITIND,,1937,2626,2851,2507,3101,3011,2998,2689,3275,3076,3130,2902,3395
Expenses,PIDILITIND,,1589,2077,2302,2106,2572,2511,2502,2232,2569,2398,2388,2327,2583
Operating Profit,PIDILITIND,,348,550,549,401,529,500,496,458,706,678,742,575,812
OPM %,PIDILITIND,,18%,21%,19%,16%,17%,17%,17%,17%,22%,22%,24%,20%,24%
Other Income,PIDILITIND,,8,15,9,16,14,14,7,23,23,32,37,-23,54
Interest,PIDILITIND,,10,12,11,9,9,12,15,12,12,13,13,13,12
Depreciation,PIDILITIND,,57,60,60,62,61,64,69,76,73,75,79,113,84
Profit before tax,PIDILITIND,,290,491,487,346,473,439,419,393,644,622,687,426,770
Tax %,PIDILITIND,,25%,24%,26%,26%,24%,23%,27%,27%,26%,26%,26%,29%,26%
Net Profit,PIDILITIND,,218,376,359,254,358,338,308,286,474,459,511,304,571
EPS in Rs,PIDILITIND,,4.33,7.37,7.05,5.00,6.96,6.54,5.98,5.57,9.21,8.85,10.04,5.91,11.15
Raw PDF,PIDILITIND,,,,,,,,,,,,,,
Sales,PIIND,,1194,1354,1356,1395,1543,1770,1613,1566,1910,2117,1898,1741,2069
Expenses,PIIND,,945,1063,1060,1090,1198,1338,1198,1223,1443,1566,1344,1299,1486
Operating Profit,PIIND,,249,292,296,305,346,432,415,343,468,551,554,442,583
OPM %,PIIND,,21%,22%,22%,22%,22%,24%,26%,22%,24%,26%,29%,25%,28%
Other Income,PIIND,,31,28,26,21,28,33,51,51,52,49,58,60,75
Interest,PIIND,,3,3,3,3,4,11,9,3,4,8,7,11,8
Depreciation,PIIND,,49,49,50,54,56,56,57,58,70,80,78,80,83
Profit before tax,PIIND,,228,267,269,269,314,398,400,332,445,512,526,411,566
Tax %,PIIND,,18%,14%,17%,24%,16%,16%,12%,16%,14%,6%,15%,10%,21%
Net Profit,PIIND,,187,230,223,204,262,335,352,281,383,480,449,370,449
EPS in Rs,PIIND,,12.34,15.13,14.67,13.47,17.30,22.07,23.19,18.49,25.24,31.67,29.57,24.35,29.58
Raw PDF,PIIND,,,,,,,,,,,,,,
Sales,POLYCAB,,1855,3007,3372,3970,2737,3332,3715,4324,3889,4218,4340,5592,4698
Expenses,POLYCAB,,1723,2714,3010,3494,2427,2906,3212,3721,3341,3609,3771,4830,4115
Operating Profit,POLYCAB,,132,293,362,476,310,427,503,603,549,609,570,762,583
OPM %,POLYCAB,,7%,10%,11%,12%,11%,13%,14%,14%,14%,14%,13%,14%,12%
Other Income,POLYCAB,,25,30,90,17,44,-2,40,52,64,35,71,54,58
Interest,POLYCAB,,10,5,8,13,8,14,9,28,25,27,32,24,41
Depreciation,POLYCAB,,49,51,51,50,51,52,52,53,57,60,62,66,67
Profit before tax,POLYCAB,,98,267,392,430,295,358,481,573,530,557,546,725,533
Tax %,POLYCAB,,23%,25%,19%,24%,24%,24%,25%,25%,24%,23%,24%,24%,25%
Net Profit,POLYCAB,,75,201,316,325,223,271,361,429,403,430,417,553,402
EPS in Rs,POLYCAB,,4.96,13.26,21.05,21.56,14.69,17.91,23.89,28.38,26.67,28.37,27.49,36.34,26.34
Raw PDF,POLYCAB,,,,,,,,,,,,,,
Sales,PRINCEPIPE,,331,761,664,901,604,636,706,764,554,656,619,740,604
Expenses,PRINCEPIPE,,289,638,553,761,560,648,636,616,508,562,543,648,546
Operating Profit,PRINCEPIPE,,41,123,111,141,44,-11,69,148,45,94,76,92,58
OPM %,PRINCEPIPE,,12%,16%,17%,16%,7%,-2%,10%,19%,8%,14%,12%,12%,10%
Other Income,PRINCEPIPE,,2,1,2,0,1,3,1,3,4,22,3,5,3
Interest,PRINCEPIPE,,3,4,3,4,3,3,2,3,2,1,3,1,1
Depreciation,PRINCEPIPE,,16,17,18,20,20,21,21,21,22,23,23,24,26
Profit before tax,PRINCEPIPE,,25,104,92,117,22,-33,48,128,26,93,53,72,34
Tax %,PRINCEPIPE,,28%,27%,27%,24%,27%,-27%,26%,26%,23%,24%,29%,24%,27%
Net Profit,PRINCEPIPE,,18,76,67,88,16,-24,35,94,20,71,38,55,25
EPS in Rs,PRINCEPIPE,,1.61,6.92,6.09,7.98,1.45,-2.18,3.20,8.51,1.77,6.39,3.40,4.94,2.23
Raw PDF,PRINCEPIPE,,,,,,,,,,,,,,
Sales,RAILTEL,,304,348,414,455,370,429,454,697,468,599,668,833,558
Expenses,RAILTEL,,245,239,343,359,304,328,380,600,377,484,539,716,455
Operating Profit,RAILTEL,,60,110,71,96,66,100,74,98,90,115,130,117,103
OPM %,RAILTEL,,20%,31%,17%,21%,18%,23%,16%,14%,19%,19%,19%,14%,19%
Other Income,RAILTEL,,8,21,56,21,8,11,8,46,-1,14,-4,31,2
Interest,RAILTEL,,1,1,1,1,1,1,2,1,1,1,0,4,1
Depreciation,RAILTEL,,39,40,38,43,40,37,37,41,37,38,41,43,38
Profit before tax,RAILTEL,,27,90,89,73,34,74,43,102,51,90,84,102,67
Tax %,RAILTEL,,24%,26%,25%,26%,26%,25%,26%,26%,25%,25%,26%,24%,27%
Net Profit,RAILTEL,,21,67,67,54,25,55,32,75,38,68,62,78,49
EPS in Rs,RAILTEL,,0.65,2.08,2.07,1.69,0.78,1.72,1.00,2.34,1.20,2.12,1.94,2.42,1.52
Raw PDF,RAILTEL,,,,,,,,,,,,,,
Sales,RAYMOND,,826,1551,1843,1958,1728,2168,2168,2150,473,2253,2386,943,938
Expenses,RAYMOND,,862,1372,1568,1674,1520,1833,1854,1813,431,1939,2028,773,850
Operating Profit,RAYMOND,,-36,180,275,284,208,335,314,337,42,315,358,171,88
OPM %,RAYMOND,,-4%,12%,15%,15%,12%,15%,14%,16%,9%,14%,15%,18%,9%
Other Income,RAYMOND,,-7,24,26,-35,28,19,27,-38,1065,52,64,153,7370
Interest,RAYMOND,,55,58,57,57,59,63,70,64,8,89,104,19,31
Depreciation,RAYMOND,,61,60,60,59,58,58,58,62,16,65,70,25,39
Profit before tax,RAYMOND,,-159,86,184,133,118,233,213,173,1083,212,248,280,7388
Tax %,RAYMOND,,-1%,34%,45%,-100%,31%,30%,55%,-13%,2%,24%,25%,18%,0%
Net Profit,RAYMOND,,-157,56,101,265,82,162,97,196,1067,161,185,230,7367
EPS in Rs,RAYMOND,,-23.50,8.00,15.06,39.54,12.15,23.85,14.24,29.18,159.95,23.99,27.55,34.42,1106.08
Raw PDF,RAYMOND,,,,,,,,,,,,,,
Sales,REDTAPE,,,,,,306,306,478,379,395,325,618,509,442
Expenses,REDTAPE,,,,,,252,262,391,319,313,267,513,432,373
Operating Profit,REDTAPE,,,,,,53,45,87,60,82,58,105,77,69
OPM %,REDTAPE,,,,,,17%,15%,18%,16%,21%,18%,17%,15%,16%
Other Income,REDTAPE,,,,,,2,3,1,1,1,2,4,3,2
Interest,REDTAPE,,,,,,4,4,5,5,6,9,10,10,10
Depreciation,REDTAPE,,,,,,11,10,10,13,12,15,16,15,19
Profit before tax,REDTAPE,,,,,,41,33,73,42,64,36,82,54,42
Tax %,REDTAPE,,,,,,31%,22%,27%,17%,27%,23%,26%,25%,26%
Net Profit,REDTAPE,,,,,,28,26,53,35,47,28,61,41,31
EPS in Rs,REDTAPE,,,,,,,,,2.50,3.38,2.01,4.40,2.96,2.22
Raw PDF,REDTAPE,,,,,,,,,,,,,,
Sales,RELAXO,,497,714,744,698,667,670,681,765,739,715,713,747,748
Expenses,RELAXO,,431,598,622,587,581,610,609,647,631,624,626,627,649
Operating Profit,RELAXO,,66,117,122,111,86,59,72,118,108,92,87,120,99
OPM %,RELAXO,,13%,16%,16%,16%,13%,9%,11%,15%,15%,13%,12%,16%,13%
