Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Other Income,ASHOKLEY,56,,,,,,,,,,613,,,,-106,,,,-321,,,406,,,190,,,139,,,57,,,207,,,-230,,,166,,,73
Interest,ASHOKLEY,3231,,,,,,,,,,805,,,,872,,,,925,,,1049,,,1227,,,1502,,,1802,,,1901,,,1869,,,2094,,,2982
Depreciation,ASHOKLEY,936,,,,,,,,,,530,,,,580,,,,524,,,573,,,646,,,676,,,750,,,836,,,866,,,900,,,927
Profit before tax,ASHOKLEY,4192,,,,,,,,,,-300,,,,-42,,,,1209,,,1829,,,2565,,,2872,,,739,,,-67,,,-200,,,2265,,,4106
Tax %,ASHOKLEY,,,,,,,,,,,-23%,,,,415%,,,,41%,,,11%,,,29%,,,24%,,,38%,,,4%,,,43%,,,40%,,,34%
Net Profit,ASHOKLEY,2662,,,,,,,,,,-222,,,,-205,,,,712,,,1633,,,1814,,,2195,,,460,,,-70,,,-285,,,1359,,,2696
EPS in Rs,ASHOKLEY,8.34,,,,,,,,,,-0.62,,,,0.47,,,,2.40,,,5.58,,,6.01,,,7.08,,,1.15,,,-0.56,,,-1.22,,,4.22,,,8.46
Dividend Payout %,ASHOKLEY,,,,,,,,,,,0%,,,,96%,,,,40%,,,28%,,,40%,,,44%,,,44%,,,-107%,,,-82%,,,62%,,,59%
Sales,ASIANPAINT,35282,,,,,,,10504,,,12220,,,,13615,,,,14271,,,15062,,,16825,,,19240,,,20211,,,21713,,,29101,,,34489,,,35495
Expenses,ASIANPAINT,28125,,,,,,,8767,,,10217,,,,11372,,,,11546,,,12068,,,13621,,,15475,,,16054,,,16857,,,24298,,,28229,,,27910
Operating Profit,ASIANPAINT,7157,,,,,,,1737,,,2004,,,,2243,,,,2725,,,2994,,,3204,,,3765,,,4157,,,4856,,,4804,,,6260,,,7585
OPM %,ASIANPAINT,20%,,,,,,,17%,,,16%,,,,16%,,,,19%,,,20%,,,19%,,,20%,,,21%,,,22%,,,17%,,,18%,,,21%
Other Income,ASIANPAINT,786,,,,,,,114,,,124,,,,142,,,,213,,,338,,,336,,,274,,,355,,,332,,,296,,,431,,,821
Interest,ASIANPAINT,215,,,,,,,42,,,48,,,,42,,,,49,,,37,,,41,,,110,,,102,,,92,,,95,,,144,,,205
Depreciation,ASIANPAINT,882,,,,,,,155,,,246,,,,266,,,,276,,,335,,,360,,,622,,,780,,,791,,,816,,,858,,,853
Profit before tax,ASIANPAINT,6846,,,,,,,1655,,,1834,,,,2077,,,,2614,,,2960,,,3138,,,3306,,,3629,,,4304,,,4188,,,5689,,,7348
Tax %,ASIANPAINT,,,,,,,,30%,,,31%,,,,31%,,,,32%,,,32%,,,33%,,,33%,,,24%,,,26%,,,26%,,,26%,,,24%
Net Profit,ASIANPAINT,5170,,,,,,,1160,,,1263,,,,1427,,,,1803,,,2016,,,2098,,,2208,,,2774,,,3207,,,3085,,,4195,,,5558
EPS in Rs,ASIANPAINT,52.96,,,,,,,11.61,,,12.71,,,,14.54,,,,18.19,,,20.22,,,21.26,,,22.48,,,28.20,,,32.73,,,31.59,,,42.81,,,56.92
Dividend Payout %,ASIANPAINT,,,,,,,,40%,,,42%,,,,42%,,,,41%,,,51%,,,41%,,,47%,,,43%,,,55%,,,61%,,,60%,,,58%
Sales,ASTRAL,5742,,,,,,,802,,,1057,,,,1410,,,,1678,,,1895,,,2073,,,2507,,,2578,,,3176,,,4394,,,5158,,,5641
Expenses,ASTRAL,4811,,,,,,,687,,,902,,,,1242,,,,1470,,,1633,,,1759,,,2126,,,2136,,,2539,,,3640,,,4349,,,4717
Operating Profit,ASTRAL,931,,,,,,,115,,,155,,,,168,,,,208,,,261,,,314,,,382,,,442,,,638,,,754,,,810,,,925
OPM %,ASTRAL,16%,,,,,,,14%,,,15%,,,,12%,,,,12%,,,14%,,,15%,,,15%,,,17%,,,20%,,,17%,,,16%,,,16%
Other Income,ASTRAL,42,,,,,,,2,,,2,,,,3,,,,-4,,,8,,,13,,,15,,,11,,,25,,,35,,,37,,,36
Interest,ASTRAL,31,,,,,,,19,,,31,,,,25,,,,30,,,18,,,22,,,32,,,39,,,13,,,13,,,40,,,29
Depreciation,ASTRAL,207,,,,,,,18,,,22,,,,36,,,,42,,,50,,,57,,,81,,,108,,,116,,,127,,,178,,,198
Profit before tax,ASTRAL,735,,,,,,,80,,,105,,,,110,,,,132,,,201,,,248,,,283,,,306,,,533,,,648,,,628,,,734
Tax %,ASTRAL,,,,,,,,24%,,,24%,,,,29%,,,,22%,,,28%,,,29%,,,30%,,,18%,,,23%,,,24%,,,25%,,,26%
Net Profit,ASTRAL,546,,,,,,,61,,,79,,,,78,,,,102,,,145,,,176,,,197,,,250,,,408,,,490,,,472,,,546
EPS in Rs,ASTRAL,20.35,,,,,,,1.21,,,1.26,,,,2.89,,,,3.79,,,5.44,,,6.58,,,7.36,,,9.25,,,15.10,,,18.06,,,17.00,,,20.33
Dividend Payout %,ASTRAL,,,,,,,,5%,,,5%,,,,6%,,,,5%,,,5%,,,4%,,,4%,,,6%,,,10%,,,12%,,,21%,,,18%
Revenue,AXISBANK,117672,,,,,,,27202,,,30736,,,,35727,,,,41409,,,45175,,,46614,,,56044,,,63716,,,64397,,,68846,,,87448,,,112759
Interest,AXISBANK,64680,,,,,,,17513,,,18703,,,,21341,,,,24344,,,26789,,,27604,,,33883,,,37996,,,34627,,,34923,,,43389,,,61391
Expenses,AXISBANK,43581,,,,,,,8538,,,9944,,,,11521,,,,13869,,,24327,,,29717,,,28020,,,35976,,,32621,,,31216,,,30641,,,40032
Financing Profit,AXISBANK,9411,,,,,,,1151,,,2089,,,,2865,,,,3196,,,-5941,,,-10706,,,-5860,,,-10256,,,-2851,,,2707,,,13418,,,11336
Financing Margin %,AXISBANK,8%,,,,,,,4%,,,7%,,,,8%,,,,8%,,,-13%,,,-23%,,,-10%,,,-16%,,,-4%,,,4%,,,15%,,,10%
Other Income,AXISBANK,26219,,,,,,,6833,,,7766,,,,8838,,,,9955,,,12422,,,11863,,,14189,,,16342,,,13577,,,17268,,,18349,,,25230
Depreciation,AXISBANK,0,,,,,,,359,,,375,,,,420,,,,461,,,527,,,591,,,737,,,806,,,976,,,1046,,,13146,,,1388
Profit before tax,AXISBANK,35630,,,,,,,7625,,,9479,,,,11283,,,,12690,,,5954,,,566,,,7592,,,5280,,,9750,,,18929,,,18621,,,35178
Tax %,AXISBANK,,,,,,,,31%,,,33%,,,,34%,,,,34%,,,33%,,,18%,,,34%,,,64%,,,26%,,,25%,,,42%,,,25%
Net Profit,AXISBANK,26846,,,,,,,5235,,,6311,,,,7450,,,,8358,,,3967,,,464,,,5047,,,1879,,,7252,,,14207,,,10919,,,26492
EPS in Rs,AXISBANK,86.63,,,,,,,22.37,,,26.86,,,,31.42,,,,35.04,,,16.51,,,1.78,,,19.59,,,6.57,,,23.49,,,45.99,,,35.16,,,85.49
Dividend Payout %,AXISBANK,,,,,,,,16%,,,15%,,,,15%,,,,14%,,,30%,,,0%,,,5%,,,0%,,,0%,,,2%,,,3%,,,1%
Sales,BAJAJ-AUTO,46491,,,,,,,20025,,,20137,,,,21595,,,,22574,,,21755,,,25210,,,30358,,,29919,,,27741,,,33145,,,36455,,,44870
Expenses,BAJAJ-AUTO,37291,,,,,,,16370,,,15974,,,,17467,,,,17781,,,17326,,,20364,,,25160,,,24809,,,22803,,,27886,,,29991,,,36106
Operating Profit,BAJAJ-AUTO,9200,,,,,,,3656,,,4163,,,,4128,,,,4793,,,4429,,,4846,,,5198,,,5109,,,4938,,,5259,,,6465,,,8765
OPM %,BAJAJ-AUTO,20%,,,,,,,18%,,,21%,,,,19%,,,,21%,,,20%,,,19%,,,17%,,,17%,,,18%,,,16%,,,18%,,,20%
Other Income,BAJAJ-AUTO,1688,,,,,,,790,,,674,,,,228,,,,1194,,,1468,,,1404,,,2028,,,1832,,,1570,,,2671,,,1703,,,1700
Interest,BAJAJ-AUTO,95,,,,,,,1,,,1,,,,6,,,,1,,,1,,,1,,,4,,,3,,,7,,,9,,,40,,,60
Depreciation,BAJAJ-AUTO,373,,,,,,,168,,,181,,,,267,,,,307,,,307,,,315,,,266,,,246,,,259,,,270,,,286,,,365
Profit before tax,BAJAJ-AUTO,10420,,,,,,,4277,,,4655,,,,4083,,,,5679,,,5588,,,5933,,,6956,,,6692,,,6241,,,7652,,,7842,,,10040
Tax %,BAJAJ-AUTO,,,,,,,,29%,,,31%,,,,31%,,,,28%,,,27%,,,29%,,,29%,,,22%,,,22%,,,19%,,,23%,,,23%
Net Profit,BAJAJ-AUTO,8006,,,,,,,3133,,,3380,,,,3026,,,,4061,,,4079,,,4219,,,4928,,,5212,,,4857,,,6166,,,6060,,,7708
EPS in Rs,BAJAJ-AUTO,284.77,,,,,,,108.26,,,116.82,,,,104.56,,,,140.35,,,140.98,,,145.80,,,170.29,,,180.11,,,167.85,,,213.08,,,214.17,,,276.10
Dividend Payout %,BAJAJ-AUTO,,,,,,,,42%,,,43%,,,,48%,,,,39%,,,39%,,,41%,,,35%,,,67%,,,83%,,,66%,,,65%,,,29%
Sales,BAJAJELEC,4684,,,,,,,,,,,,,,,,,,4590,,,4254,,,4697,,,6662,,,4985,,,4584,,,4811,,,4889,,,4639
Expenses,BAJAJELEC,4426,,,,,,,,,,,,,,,,,,4326,,,4011,,,4414,,,6325,,,4780,,,4281,,,4560,,,4515,,,4379
Operating Profit,BAJAJELEC,258,,,,,,,,,,,,,,,,,,264,,,243,,,283,,,338,,,205,,,303,,,250,,,375,,,260
OPM %,BAJAJELEC,6%,,,,,,,,,,,,,,,,,,6%,,,6%,,,6%,,,5%,,,4%,,,7%,,,5%,,,8%,,,6%
Other Income,BAJAJELEC,82,,,,,,,,,,,,,,,,,,46,,,30,,,-26,,,65,,,46,,,95,,,55,,,46,,,82
Interest,BAJAJELEC,68,,,,,,,,,,,,,,,,,,108,,,80,,,59,,,118,,,171,,,76,,,70,,,44,,,63
Depreciation,BAJAJELEC,119,,,,,,,,,,,,,,,,,,27,,,30,,,34,,,44,,,74,,,75,,,69,,,74,,,110
Profit before tax,BAJAJELEC,154,,,,,,,,,,,,,,,,,,174,,,163,,,164,,,241,,,7,,,246,,,166,,,303,,,168
Tax %,BAJAJELEC,,,,,,,,,,,,,,,,,,,38%,,,37%,,,49%,,,36%,,,244%,,,23%,,,25%,,,29%,,,22%
Net Profit,BAJAJELEC,122,,,,,,,,,,,,,,,,,,108,,,102,,,84,,,154,,,-10,,,189,,,124,,,216,,,131
EPS in Rs,BAJAJELEC,10.60,,,,,,,,,,,,,,,,,,9.62,,,9.08,,,7.39,,,13.76,,,-0.82,,,16.64,,,11.19,,,18.78,,,11.38
Dividend Payout %,BAJAJELEC,,,,,,,,,,,,,,,,,,,26%,,,28%,,,43%,,,23%,,,0%,,,0%,,,27%,,,21%,,,26%
Sales,BAJAJFINSV,118582,,,,,,,8055,,,6023,,,,11335,,,,20533,,,24507,,,32862,,,42605,,,54351,,,60592,,,68406,,,82072,,,110382
Expenses,BAJAJFINSV,75437,,,,,,,4124,,,1531,,,,5823,,,,13795,,,15794,,,22074,,,27569,,,36094,,,40950,,,46951,,,52204,,,69497
Operating Profit,BAJAJFINSV,43145,,,,,,,3931,,,4491,,,,5511,,,,6739,,,8713,,,10788,,,15037,,,18258,,,19641,,,21455,,,29868,,,40886
OPM %,BAJAJFINSV,36%,,,,,,,49%,,,75%,,,,49%,,,,33%,,,36%,,,33%,,,35%,,,34%,,,32%,,,31%,,,36%,,,37%
Other Income,BAJAJFINSV,9,,,,,,,2,,,3,,,,8,,,,0,,,0,,,1,,,2,,,0,,,-7,,,8,,,1,,,-4
Interest,BAJAJFINSV,19971,,,,,,,1204,,,1562,,,,2230,,,,2877,,,3716,,,4531,,,6657,,,9500,,,9274,,,9629,,,12380,,,18607
Depreciation,BAJAJFINSV,965,,,,,,,22,,,31,,,,38,,,,58,,,73,,,160,,,226,,,457,,,498,,,563,,,678,,,900
Profit before tax,BAJAJFINSV,22218,,,,,,,2708,,,2902,,,,3251,,,,3804,,,4925,,,6099,,,8155,,,8302,,,9862,,,11271,,,16811,,,21375
Tax %,BAJAJFINSV,,,,,,,,18%,,,24%,,,,26%,,,,27%,,,30%,,,32%,,,34%,,,28%,,,25%,,,26%,,,27%,,,27%
Net Profit,BAJAJFINSV,16095,,,,,,,2214,,,2191,,,,2409,,,,2775,,,3450,,,4176,,,5374,,,5994,,,7367,,,8314,,,12210,,,15595
EPS in Rs,BAJAJFINSV,52.28,,,,,,,9.89,,,9.71,,,,10.62,,,,11.71,,,14.21,,,16.65,,,20.23,,,21.17,,,28.09,,,28.63,,,40.29,,,51.07
Dividend Payout %,BAJAJFINSV,,,,,,,,2%,,,2%,,,,2%,,,,1%,,,1%,,,1%,,,1%,,,2%,,,1%,,,1%,,,2%,,,2%
Revenue,BAJFINANCE,58567,,,,,,,,,,,,,,5392,,,,7299,,,9970,,,12746,,,18487,,,26374,,,26673,,,31641,,,41411,,,54972
Interest,BAJFINANCE,20306,,,,,,,,,,,,,,2274,,,,2959,,,3853,,,4696,,,6723,,,9608,,,9519,,,9855,,,12701,,,18886
Expenses,BAJFINANCE,17533,,,,,,,,,,,,,,1752,,,,2354,,,3250,,,4115,,,5454,,,9159,,,10839,,,11880,,,12693,,,16099
Financing Profit,BAJFINANCE,20727,,,,,,,,,,,,,,1367,,,,1986,,,2867,,,3935,,,6310,,,7608,,,6314,,,9906,,,16018,,,19987
Financing Margin %,BAJFINANCE,35%,,,,,,,,,,,,,,25%,,,,27%,,,29%,,,31%,,,34%,,,29%,,,24%,,,31%,,,39%,,,36%
Other Income,BAJFINANCE,24,,,,,,,,,,,,,,26,,,,35,,,22,,,10,,,13,,,9,,,3,,,-17,,,-5,,,6
Depreciation,BAJFINANCE,727,,,,,,,,,,,,,,36,,,,56,,,71,,,102,,,144,,,295,,,325,,,385,,,485,,,683
Profit before tax,BAJFINANCE,20024,,,,,,,,,,,,,,1357,,,,1965,,,2817,,,3843,,,6179,,,7322,,,5992,,,9504,,,15528,,,19310
Tax %,BAJFINANCE,,,,,,,,,,,,,,,34%,,,,35%,,,35%,,,35%,,,35%,,,28%,,,26%,,,26%,,,26%,,,25%
Net Profit,BAJFINANCE,14926,,,,,,,,,,,,,,898,,,,1279,,,1836,,,2496,,,3995,,,5264,,,4420,,,7028,,,11508,,,14451
EPS in Rs,BAJFINANCE,242.47,,,,,,,,,,,,,,17.90,,,,23.74,,,33.40,,,43.19,,,69.12,,,87.48,,,73.35,,,116.09,,,190.07,,,233.46
Dividend Payout %,BAJFINANCE,,,,,,,,,,,,,,,10%,,,,10%,,,11%,,,9%,,,9%,,,11%,,,14%,,,17%,,,16%,,,15%
Sales,BALAMINES,1563,,,,,,,509,,,608,,,,616,,,,640,,,668,,,858,,,940,,,935,,,1308,,,2314,,,2346,,,1634
Expenses,BALAMINES,1271,,,,,,,429,,,517,,,,515,,,,514,,,519,,,676,,,747,,,754,,,935,,,1691,,,1736,,,1310
Operating Profit,BALAMINES,292,,,,,,,80,,,91,,,,102,,,,127,,,149,,,182,,,193,,,181,,,373,,,623,,,609,,,324
OPM %,BALAMINES,19%,,,,,,,16%,,,15%,,,,17%,,,,20%,,,22%,,,21%,,,21%,,,19%,,,29%,,,27%,,,26%,,,20%
Other Income,BALAMINES,32,,,,,,,4,,,3,,,,4,,,,3,,,9,,,12,,,4,,,5,,,6,,,15,,,15,,,30
Interest,BALAMINES,6,,,,,,,25,,,32,,,,35,,,,22,,,13,,,9,,,13,,,23,,,18,,,17,,,12,,,6
Depreciation,BALAMINES,46,,,,,,,13,,,16,,,,20,,,,19,,,20,,,19,,,20,,,32,,,34,,,42,,,46,,,45
Profit before tax,BALAMINES,273,,,,,,,46,,,46,,,,51,,,,88,,,126,,,166,,,165,,,131,,,327,,,578,,,567,,,302
Tax %,BALAMINES,,,,,,,,32%,,,27%,,,,35%,,,,34%,,,34%,,,32%,,,29%,,,26%,,,25%,,,28%,,,28%,,,23%
Net Profit,BALAMINES,210,,,,,,,31,,,34,,,,33,,,,58,,,82,,,113,,,117,,,97,,,243,,,418,,,406,,,232
EPS in Rs,BALAMINES,60.31,,,,,,,9.62,,,10.34,,,,10.25,,,,17.78,,,25.42,,,34.93,,,36.27,,,32.34,,,73.51,,,113.71,,,100.47,,,63.22
Dividend Payout %,BALAMINES,,,,,,,,14%,,,10%,,,,12%,,,,11%,,,9%,,,7%,,,8%,,,10%,,,5%,,,5%,,,10%,,,17%
Sales,BATAINDIA,3465,,,,,,1842,,,2065,,,,,2694,,,,2423,,,2474,,,2634,,,2931,,,3056,,,1708,,,2388,,,3452,,,3479
Expenses,BATAINDIA,2734,,,,,,1556,,,1728,,,,,2343,,,,2129,,,2178,,,2271,,,2441,,,2210,,,1540,,,1960,,,2647,,,2682
Operating Profit,BATAINDIA,731,,,,,,287,,,338,,,,,351,,,,294,,,296,,,364,,,490,,,846,,,169,,,427,,,804,,,797
OPM %,BATAINDIA,21%,,,,,,16%,,,16%,,,,,13%,,,,12%,,,12%,,,14%,,,17%,,,28%,,,10%,,,18%,,,23%,,,23%
Other Income,BATAINDIA,158,,,,,,29,,,18,,,,,75,,,,97,,,18,,,49,,,66,,,66,,,87,,,54,,,39,,,19
Interest,BATAINDIA,120,,,,,,12,,,13,,,,,18,,,,16,,,15,,,15,,,14,,,129,,,108,,,99,,,118,,,126
Depreciation,BATAINDIA,345,,,,,,51,,,59,,,,,79,,,,79,,,65,,,60,,,64,,,296,,,265,,,242,,,295,,,339
Profit before tax,BATAINDIA,424,,,,,,253,,,283,,,,,329,,,,297,,,234,,,337,,,478,,,487,,,-117,,,140,,,430,,,351
Tax %,BATAINDIA,,,,,,,32%,,,33%,,,,,30%,,,,27%,,,32%,,,35%,,,31%,,,32%,,,-23%,,,26%,,,25%,,,25%
Net Profit,BATAINDIA,330,,,,,,172,,,191,,,,,231,,,,217,,,159,,,221,,,329,,,329,,,-89,,,103,,,323,,,263
EPS in Rs,BATAINDIA,25.64,,,,,,13.39,,,14.86,,,,,18.00,,,,16.91,,,12.37,,,17.16,,,25.60,,,25.59,,,-6.95,,,8.01,,,25.13,,,20.42
Dividend Payout %,BATAINDIA,,,,,,,22%,,,22%,,,,,18%,,,,21%,,,28%,,,23%,,,24%,,,16%,,,-58%,,,680%,,,54%,,,59%
Sales,BEL,20979,,,,,,,6273,,,6518,,,,7093,,,,7354,,,8656,,,10401,,,12164,,,12968,,,14109,,,15368,,,17734,,,20268
Expenses,BEL,15657,,,,,,,5604,,,5593,,,,5913,,,,5961,,,6864,,,8361,,,9255,,,10209,,,10895,,,12024,,,13645,,,15217
Operating Profit,BEL,5322,,,,,,,669,,,925,,,,1179,,,,1393,,,1792,,,2039,,,2909,,,2759,,,3214,,,3344,,,4090,,,5051
OPM %,BEL,25%,,,,,,,11%,,,14%,,,,17%,,,,19%,,,21%,,,20%,,,24%,,,21%,,,23%,,,22%,,,23%,,,25%
Other Income,BEL,733,,,,,,,622,,,438,,,,507,,,,573,,,420,,,196,,,73,,,99,,,125,,,232,,,281,,,670
Interest,BEL,7,,,,,,,7,,,7,,,,7,,,,10,,,18,,,6,,,16,,,8,,,10,,,9,,,19,,,12
Depreciation,BEL,442,,,,,,,136,,,150,,,,166,,,,192,,,212,,,272,,,338,,,372,,,387,,,401,,,429,,,443
Profit before tax,BEL,5606,,,,,,,1147,,,1206,,,,1513,,,,1764,,,1983,,,1957,,,2628,,,2478,,,2942,,,3166,,,3923,,,5266
Tax %,BEL,,,,,,,,21%,,,21%,,,,21%,,,,24%,,,24%,,,28%,,,30%,,,28%,,,30%,,,26%,,,25%,,,25%
Net Profit,BEL,4238,,,,,,,911,,,952,,,,1197,,,,1337,,,1523,,,1431,,,1887,,,1825,,,2100,,,2400,,,2986,,,3985
EPS in Rs,BEL,5.80,,,,,,,1.15,,,1.20,,,,1.51,,,,1.69,,,2.07,,,1.96,,,2.58,,,2.50,,,2.87,,,3.28,,,4.08,,,5.45
Dividend Payout %,BEL,,,,,,,,20%,,,20%,,,,20%,,,,31%,,,33%,,,34%,,,44%,,,37%,,,46%,,,46%,,,44%,,,40%
Sales,BERGEPAINT,11260,,,,,,,3227,,,3732,,,,4170,,,,4223,,,4552,,,5166,,,6062,,,6366,,,6818,,,8762,,,10568,,,11199
Expenses,BERGEPAINT,9433,,,,,,,2856,,,3300,,,,3659,,,,3578,,,3833,,,4359,,,5127,,,5313,,,5635,,,7431,,,9090,,,9338
Operating Profit,BERGEPAINT,1827,,,,,,,371,,,431,,,,511,,,,645,,,719,,,807,,,935,,,1053,,,1182,,,1331,,,1478,,,1861
OPM %,BERGEPAINT,16%,,,,,,,12%,,,12%,,,,12%,,,,15%,,,16%,,,16%,,,15%,,,17%,,,17%,,,15%,,,14%,,,17%
Other Income,BERGEPAINT,133,,,,,,,31,,,36,,,,36,,,,40,,,108,,,46,,,60,,,69,,,51,,,68,,,48,,,105
Interest,BERGEPAINT,74,,,,,,,38,,,47,,,,50,,,,27,,,16,,,25,,,47,,,47,,,44,,,51,,,99,,,78
Depreciation,BERGEPAINT,340,,,,,,,57,,,71,,,,92,,,,99,,,108,,,124,,,182,,,191,,,211,,,227,,,264,,,331
Profit before tax,BERGEPAINT,1547,,,,,,,308,,,350,,,,404,,,,559,,,703,,,705,,,765,,,883,,,979,,,1122,,,1162,,,1557
Tax %,BERGEPAINT,,,,,,,,29%,,,29%,,,,34%,,,,34%,,,33%,,,35%,,,35%,,,26%,,,26%,,,26%,,,26%,,,25%
Net Profit,BERGEPAINT,1169,,,,,,,218,,,249,,,,265,,,,371,,,474,,,461,,,494,,,656,,,720,,,833,,,860,,,1170
EPS in Rs,BERGEPAINT,10.01,,,,,,,1.88,,,2.14,,,,2.27,,,,3.18,,,4.07,,,3.95,,,4.24,,,5.64,,,6.17,,,7.14,,,7.37,,,10.02
Dividend Payout %,BERGEPAINT,,,,,,,,29%,,,31%,,,,33%,,,,31%,,,36%,,,38%,,,37%,,,32%,,,38%,,,36%,,,36%,,,35%
Sales,BHARTIARTL,151049,,,,,,,76947,,,85864,,,,96101,,,,96532,,,95468,,,82639,,,80780,,,87539,,,100616,,,116547,,,139145,,,149982
Expenses,BHARTIARTL,72648,,,,,,,53987,,,59352,,,,62499,,,,62548,,,60138,,,52560,,,55016,,,50930,,,55337,,,59013,,,67871,,,71691
Operating Profit,BHARTIARTL,78401,,,,,,,22960,,,26512,,,,33602,,,,33984,,,35330,,,30079,,,25764,,,36610,,,45279,,,57534,,,71274,,,78292
OPM %,BHARTIARTL,52%,,,,,,,30%,,,31%,,,,35%,,,,35%,,,37%,,,36%,,,32%,,,42%,,,45%,,,49%,,,51%,,,52%
Other Income,BHARTIARTL,1061,,,,,,,1159,,,2881,,,,1243,,,,4858,,,1713,,,1756,,,4474,,,-37775,,,-4215,,,4656,,,1019,,,-3428
Interest,BHARTIARTL,22186,,,,,,,4519,,,5879,,,,4446,,,,8546,,,9547,,,9326,,,10622,,,13992,,,15091,,,16616,,,19300,,,22648
Depreciation,BHARTIARTL,40424,,,,,,,14815,,,15650,,,,19858,,,,17450,,,19773,,,19243,,,21348,,,27690,,,29404,,,33091,,,36432,,,39538
Profit before tax,BHARTIARTL,16851,,,,,,,4785,,,7864,,,,10540,,,,12846,,,7723,,,3267,,,-1732,,,-42846,,,-3432,,,12483,,,16561,,,12679
Tax %,BHARTIARTL,,,,,,,,53%,,,62%,,,,52%,,,,46%,,,45%,,,33%,,,-197%,,,-28%,,,260%,,,33%,,,26%,,,32%
Net Profit,BHARTIARTL,11755,,,,,,,2267,,,3019,,,,5048,,,,6893,,,4241,,,2184,,,1688,,,-30664,,,-12364,,,8305,,,12287,,,8558
EPS in Rs,BHARTIARTL,17.70,,,,,,,4.32,,,5.04,,,,8.41,,,,11.05,,,6.91,,,2.00,,,0.74,,,-55.06,,,-25.63,,,7.23,,,14.97,,,13.20
Dividend Payout %,BHARTIARTL,,,,,,,,17%,,,26%,,,,33%,,,,9%,,,11%,,,194%,,,244%,,,-3%,,,0%,,,39%,,,27%,,,62%
Sales,BOROLTD,983,,,,,,,,,,,,,,,,,,,,,,,,,,,361,,,630,,,577,,,828,,,1011,,,942
Expenses,BOROLTD,841,,,,,,,,,,,,,,,,,,,,,,,,,,,304,,,545,,,495,,,682,,,885,,,810
Operating Profit,BOROLTD,142,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,85,,,82,,,146,,,126,,,133
OPM %,BOROLTD,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,13%,,,14%,,,18%,,,12%,,,14%
Other Income,BOROLTD,24,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,3,,,17,,,11,,,34,,,18
Interest,BOROLTD,12,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,6,,,2,,,1,,,2,,,9
Depreciation,BOROLTD,61,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,38,,,35,,,34,,,39,,,54
Profit before tax,BOROLTD,94,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,44,,,61,,,122,,,119,,,88
Tax %,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,19%,,,31%,,,30%,,,24%,,,25%
Net Profit,BOROLTD,70,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,35,,,42,,,85,,,90,,,66
EPS in Rs,BOROLTD,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,3.13,,,3.69,,,7.33,,,7.85,,,5.75
Dividend Payout %,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,27%,,,0%,,,0%,,,0%
Sales,BRITANNIA,17009,,,,,,,6185,,,6913,,,,7858,,,,8397,,,9054,,,9914,,,11055,,,11600,,,13136,,,14136,,,16301,,,16769
Expenses,BRITANNIA,13781,,,,,,,5765,,,6286,,,,6988,,,,7174,,,7776,,,8413,,,9322,,,9756,,,10627,,,11935,,,13470,,,13603
Operating Profit,BRITANNIA,3228,,,,,,,421,,,627,,,,870,,,,1224,,,1278,,,1501,,,1732,,,1843,,,2509,,,2201,,,2831,,,3167
OPM %,BRITANNIA,19%,,,,,,,7%,,,9%,,,,11%,,,,15%,,,14%,,,15%,,,16%,,,16%,,,19%,,,16%,,,17%,,,19%
Other Income,BRITANNIA,188,,,,,,,52,,,34,,,,228,,,,115,,,151,,,166,,,206,,,263,,,313,,,222,,,597,,,211
Interest,BRITANNIA,140,,,,,,,41,,,8,,,,4,,,,5,,,5,,,8,,,9,,,77,,,111,,,144,,,169,,,164
Depreciation,BRITANNIA,304,,,,,,,73,,,83,,,,144,,,,113,,,119,,,142,,,162,,,185,,,198,,,201,,,226,,,300
Profit before tax,BRITANNIA,2973,,,,,,,358,,,569,,,,950,,,,1220,,,1304,,,1518,,,1768,,,1844,,,2514,,,2078,,,3033,,,2913
Tax %,BRITANNIA,,,,,,,,27%,,,30%,,,,28%,,,,32%,,,32%,,,34%,,,35%,,,24%,,,26%,,,27%,,,24%,,,27%
Net Profit,BRITANNIA,2184,,,,,,,260,,,395,,,,689,,,,825,,,885,,,1004,,,1155,,,1394,,,1851,,,1516,,,2316,,,2134
