Balance Sheet,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Equity Capital,ASHOKLEY,,,,,,,,,,266.0,,,,285.0,,,,285.0,,,285.0,,,293.0,,,294.0,,,294.0,,,294.0,,,294.0,,,294.0,,,294.0,
Reserves,ASHOKLEY,,,,,,,,,,3723.0,,,,4227.0,,,,4979.0,,,6108.0,,,7128.0,,,8452.0,,,7495.0,,,7568.0,,,7010.0,,,8258.0,,,8711.0,
Borrowings,ASHOKLEY,,,,,,,,,,8500.0,,,,9070.0,,,,11054.0,,,13168.0,,,15791.0,,,19168.0,,,22417.0,,,24077.0,,,24145.0,,,31161.0,,,40802.0,
Other Liabilities,ASHOKLEY,,,,,,,,,,5035.0,,,,6011.0,,,,5806.0,,,7048.0,,,10171.0,,,11212.0,,,7924.0,,,10119.0,,,12125.0,,,14984.0,,,17788.0,
Total Liabilities,ASHOKLEY,,,,,,,,,,17524.0,,,,19592.0,,,,22123.0,,,26609.0,,,33383.0,,,39126.0,,,38130.0,,,42058.0,,,43574.0,,,54697.0,,,67595.0,
Fixed Assets,ASHOKLEY,,,,,,,,,,7573.0,,,,6529.0,,,,5890.0,,,6591.0,,,6596.0,,,6695.0,,,8031.0,,,8484.0,,,7895.0,,,8146.0,,,8157.0,
CWIP,ASHOKLEY,,,,,,,,,,297.0,,,,216.0,,,,87.0,,,244.0,,,439.0,,,678.0,,,574.0,,,336.0,,,240.0,,,268.0,,,415.0,
Investments,ASHOKLEY,,,,,,,,,,1165.0,,,,1499.0,,,,1031.0,,,1933.0,,,4383.0,,,1492.0,,,960.0,,,1096.0,,,2652.0,,,4852.0,,,2329.0,
Other Assets,ASHOKLEY,,,,,,,,,,8491.0,,,,11348.0,,,,15115.0,,,17841.0,,,21965.0,,,30261.0,,,28565.0,,,32143.0,,,32787.0,,,41430.0,,,56695.0,
Total Assets,ASHOKLEY,,,,,,,,,,17524.0,,,,19592.0,,,,22123.0,,,26609.0,,,33383.0,,,39126.0,,,38130.0,,,42058.0,,,43574.0,,,54697.0,,,67595.0,
Equity Capital,ASIANPAINT,,,,,,,96.0,,,96.0,,,,96.0,,,,96.0,,,96.0,,,96.0,,,96.0,,,96.0,,,96.0,,,96.0,,,96.0,,,96.0,
Reserves,ASIANPAINT,,,,,,,3288.0,,,3943.0,,,,4646.0,,,,6429.0,,,7508.0,,,8314.0,,,9375.0,,,10034.0,,,12710.0,,,13716.0,,,15896.0,,,18632.0,
Borrowings,ASIANPAINT,,,,,,,251.0,,,249.0,,,,418.0,,,,323.0,,,560.0,,,533.0,,,1320.0,,,1118.0,,,1093.0,,,1587.0,,,1933.0,,,2474.0,
Other Liabilities,ASIANPAINT,,,,,,,3149.0,,,3787.0,,,,3754.0,,,,3711.0,,,4241.0,,,4820.0,,,5459.0,,,4889.0,,,6456.0,,,7560.0,,,7854.0,,,8698.0,
Total Liabilities,ASIANPAINT,,,,,,,6784.0,,,8075.0,,,,8914.0,,,,10559.0,,,12405.0,,,13763.0,,,16249.0,,,16138.0,,,20355.0,,,22958.0,,,25779.0,,,29901.0,
Fixed Assets,ASIANPAINT,,,,,,,2441.0,,,2562.0,,,,2660.0,,,,3416.0,,,3304.0,,,3732.0,,,6497.0,,,6272.0,,,5859.0,,,5519.0,,,5770.0,,,7147.0,
CWIP,ASIANPAINT,,,,,,,59.0,,,72.0,,,,196.0,,,,107.0,,,258.0,,,1405.0,,,210.0,,,140.0,,,183.0,,,426.0,,,1020.0,,,2698.0,
Investments,ASIANPAINT,,,,,,,296.0,,,1424.0,,,,1588.0,,,,2712.0,,,2652.0,,,2141.0,,,2569.0,,,2019.0,,,4737.0,,,3248.0,,,4262.0,,,4588.0,
Other Assets,ASIANPAINT,,,,,,,3989.0,,,4019.0,,,,4471.0,,,,4324.0,,,6192.0,,,6485.0,,,6974.0,,,7707.0,,,9577.0,,,13765.0,,,14728.0,,,15468.0,
Total Assets,ASIANPAINT,,,,,,,6784.0,,,8075.0,,,,8914.0,,,,10559.0,,,12405.0,,,13763.0,,,16249.0,,,16138.0,,,20355.0,,,22958.0,,,25779.0,,,29901.0,
Equity Capital,ASTRAL,,,,,,,11.0,,,11.0,,,,12.0,,,,12.0,,,12.0,,,12.0,,,12.0,,,15.0,,,20.0,,,20.0,,,27.0,,,27.0,
Reserves,ASTRAL,,,,,,,230.0,,,304.0,,,,607.0,,,,696.0,,,835.0,,,1006.0,,,1266.0,,,1488.0,,,1876.0,,,2316.0,,,2684.0,,,3161.0,
Borrowings,ASTRAL,,,,,,,92.0,,,142.0,,,,203.0,,,,197.0,,,229.0,,,189.0,,,275.0,,,191.0,,,80.0,,,98.0,,,87.0,,,119.0,
Other Liabilities,ASTRAL,,,,,,,211.0,,,237.0,,,,344.0,,,,397.0,,,386.0,,,468.0,,,546.0,,,595.0,,,697.0,,,952.0,,,1564.0,,,1188.0,
Total Liabilities,ASTRAL,,,,,,,544.0,,,694.0,,,,1165.0,,,,1301.0,,,1462.0,,,1675.0,,,2099.0,,,2289.0,,,2673.0,,,3387.0,,,4362.0,,,4496.0,
Fixed Assets,ASTRAL,,,,,,,215.0,,,289.0,,,,557.0,,,,645.0,,,741.0,,,842.0,,,1105.0,,,1255.0,,,1314.0,,,1496.0,,,1950.0,,,2299.0,
CWIP,ASTRAL,,,,,,,12.0,,,8.0,,,,27.0,,,,15.0,,,25.0,,,73.0,,,81.0,,,44.0,,,57.0,,,123.0,,,126.0,,,151.0,
Investments,ASTRAL,,,,,,,0.0,,,0.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Other Assets,ASTRAL,,,,,,,317.0,,,397.0,,,,582.0,,,,641.0,,,695.0,,,759.0,,,913.0,,,990.0,,,1302.0,,,1768.0,,,2286.0,,,2046.0,
Total Assets,ASTRAL,,,,,,,544.0,,,694.0,,,,1165.0,,,,1301.0,,,1462.0,,,1675.0,,,2099.0,,,2289.0,,,2673.0,,,3387.0,,,4362.0,,,4496.0,
Equity Capital,AXISBANK,,,,,,,468.0,,,470.0,,,,474.0,,,,477.0,,,479.0,,,513.0,,,514.0,,,564.0,,,613.0,,,614.0,,,615.0,,,617.0,
Reserves,AXISBANK,,,,,,,32690.0,,,37926.0,,,,44475.0,,,,53082.0,,,55901.0,,,63694.0,,,67288.0,,,85776.0,,,102981.0,,,117647.0,,,129166.0,,,156406.0,
Borrowings,AXISBANK,,,,,,,296254.0,,,333280.0,,,,406638.0,,,,472150.0,,,527437.0,,,611425.0,,,711996.0,,,797337.0,,,850551.0,,,1020943.0,,,1152038.0,,,1295302.0,
Other Liabilities,AXISBANK,,,,,,,11145.0,,,14674.0,,,,15656.0,,,,20678.0,,,27644.0,,,28071.0,,,34248.0,,,44194.0,,,46859.0,,,56576.0,,,62598.0,,,65913.0,
Total Liabilities,AXISBANK,,,,,,,340558.0,,,386350.0,,,,467243.0,,,,546387.0,,,611462.0,,,703703.0,,,814046.0,,,927872.0,,,1001005.0,,,1195779.0,,,1344418.0,,,1518239.0,
Fixed Assets,AXISBANK,,,,,,,2245.0,,,2346.0,,,,2447.0,,,,3358.0,,,3518.0,,,3697.0,,,3842.0,,,3912.0,,,4501.0,,,4753.0,,,5000.0,,,5860.0,
CWIP,AXISBANK,,,,,,,142.0,,,102.0,,,,105.0,,,,216.0,,,292.0,,,352.0,,,288.0,,,483.0,,,118.0,,,215.0,,,142.0,,,267.0,
Investments,AXISBANK,,,,,,,113378.0,,,113093.0,,,,118527.0,,,,131399.0,,,129018.0,,,153037.0,,,174056.0,,,155282.0,,,225336.0,,,274608.0,,,288095.0,,,332354.0,
Other Assets,AXISBANK,,,,,,,224792.0,,,270810.0,,,,346164.0,,,,411414.0,,,478633.0,,,546618.0,,,635860.0,,,768196.0,,,771050.0,,,916203.0,,,1051181.0,,,1179758.0,
Total Assets,AXISBANK,,,,,,,340558.0,,,386350.0,,,,467243.0,,,,546387.0,,,611462.0,,,703703.0,,,814046.0,,,927872.0,,,1001005.0,,,1195779.0,,,1344418.0,,,1518239.0,
Equity Capital,BAJAJ-AUTO,,,,,,,289.0,,,289.0,,,,289.0,,,,289.0,,,289.0,,,289.0,,,289.0,,,289.0,,,289.0,,,289.0,,,283.0,,,279.0,
Reserves,BAJAJ-AUTO,,,,,,,7776.0,,,9878.0,,,,10806.0,,,,13731.0,,,17567.0,,,20136.0,,,22944.0,,,21373.0,,,26984.0,,,29570.0,,,29079.0,,,28683.0,
Borrowings,BAJAJ-AUTO,,,,,,,116.0,,,59.0,,,,112.0,,,,118.0,,,120.0,,,121.0,,,125.0,,,126.0,,,121.0,,,123.0,,,124.0,,,1912.0,
Other Liabilities,BAJAJ-AUTO,,,,,,,4461.0,,,5081.0,,,,4758.0,,,,3102.0,,,3661.0,,,4595.0,,,5476.0,,,4722.0,,,6207.0,,,5129.0,,,5651.0,,,8470.0,
Total Liabilities,BAJAJ-AUTO,,,,,,,12642.0,,,15308.0,,,,15966.0,,,,17240.0,,,21638.0,,,25141.0,,,28834.0,,,26510.0,,,33602.0,,,35111.0,,,35136.0,,,39344.0,
Fixed Assets,BAJAJ-AUTO,,,,,,,2355.0,,,2660.0,,,,2448.0,,,,2026.0,,,2002.0,,,1878.0,,,1764.0,,,1699.0,,,1668.0,,,1836.0,,,2842.0,,,3217.0,
CWIP,BAJAJ-AUTO,,,,,,,294.0,,,144.0,,,,255.0,,,,52.0,,,42.0,,,56.0,,,48.0,,,60.0,,,16.0,,,77.0,,,85.0,,,35.0,
Investments,BAJAJ-AUTO,,,,,,,6059.0,,,8448.0,,,,8985.0,,,,11067.0,,,15477.0,,,18895.0,,,20603.0,,,19914.0,,,24687.0,,,26634.0,,,26183.0,,,28087.0,
Other Assets,BAJAJ-AUTO,,,,,,,3934.0,,,4056.0,,,,4277.0,,,,4095.0,,,4117.0,,,4312.0,,,6420.0,,,4837.0,,,7232.0,,,6564.0,,,6026.0,,,8005.0,
Total Assets,BAJAJ-AUTO,,,,,,,12642.0,,,15308.0,,,,15966.0,,,,17240.0,,,21638.0,,,25141.0,,,28834.0,,,26510.0,,,33602.0,,,35111.0,,,35136.0,,,39344.0,
Equity Capital,BAJAJELEC,,,,,,,,,,,,,,,,,,20.0,,,20.0,,,20.0,,,20.0,,,23.0,,,23.0,,,23.0,,,23.0,,,23.0,
Reserves,BAJAJELEC,,,,,,,,,,,,,,,,,,734.0,,,843.0,,,916.0,,,1035.0,,,1326.0,,,1555.0,,,1709.0,,,1884.0,,,1418.0,
Borrowings,BAJAJELEC,,,,,,,,,,,,,,,,,,899.0,,,647.0,,,723.0,,,1590.0,,,1084.0,,,548.0,,,91.0,,,101.0,,,215.0,
Other Liabilities,BAJAJELEC,,,,,,,,,,,,,,,,,,1305.0,,,1569.0,,,1806.0,,,2533.0,,,2135.0,,,2142.0,,,2169.0,,,2985.0,,,2177.0,
Total Liabilities,BAJAJELEC,,,,,,,,,,,,,,,,,,2957.0,,,3078.0,,,3466.0,,,5179.0,,,4567.0,,,4268.0,,,3992.0,,,4993.0,,,3833.0,
Fixed Assets,BAJAJELEC,,,,,,,,,,,,,,,,,,276.0,,,310.0,,,316.0,,,393.0,,,469.0,,,531.0,,,754.0,,,770.0,,,916.0,
CWIP,BAJAJELEC,,,,,,,,,,,,,,,,,,21.0,,,8.0,,,6.0,,,9.0,,,11.0,,,18.0,,,44.0,,,42.0,,,63.0,
Investments,BAJAJELEC,,,,,,,,,,,,,,,,,,77.0,,,72.0,,,8.0,,,11.0,,,13.0,,,5.0,,,5.0,,,47.0,,,35.0,
Other Assets,BAJAJELEC,,,,,,,,,,,,,,,,,,2583.0,,,2688.0,,,3136.0,,,4766.0,,,4075.0,,,3714.0,,,3189.0,,,4134.0,,,2819.0,
Total Assets,BAJAJELEC,,,,,,,,,,,,,,,,,,2957.0,,,3078.0,,,3466.0,,,5179.0,,,4567.0,,,4268.0,,,3992.0,,,4993.0,,,3833.0,
Equity Capital,BAJAJFINSV,,,,,,,80.0,,,80.0,,,,80.0,,,,80.0,,,80.0,,,80.0,,,80.0,,,80.0,,,80.0,,,80.0,,,159.0,,,159.0,
Reserves,BAJAJFINSV,,,,,,,7722.0,,,9232.0,,,,11009.0,,,,13519.0,,,16071.0,,,20403.0,,,23660.0,,,31222.0,,,35750.0,,,40167.0,,,46248.0,,,60169.0,
Borrowings,BAJAJFINSV,,,,,,,12991.0,,,19507.0,,,,26312.0,,,,36062.0,,,48282.0,,,65695.0,,,99754.0,,,127212.0,,,128461.0,,,161179.0,,,212265.0,,,288933.0,
Other Liabilities,BAJAJFINSV,,,,,,,44578.0,,,45565.0,,,,50827.0,,,,54290.0,,,64181.0,,,75337.0,,,84934.0,,,92791.0,,,115554.0,,,131987.0,,,146729.0,,,188154.0,
Total Liabilities,BAJAJFINSV,,,,,,,65370.0,,,74383.0,,,,88228.0,,,,103951.0,,,128614.0,,,161514.0,,,208428.0,,,251304.0,,,279845.0,,,333413.0,,,405401.0,,,537415.0,
Fixed Assets,BAJAJFINSV,,,,,,,1208.0,,,1262.0,,,,1261.0,,,,1274.0,,,1645.0,,,1792.0,,,2097.0,,,3216.0,,,3182.0,,,3586.0,,,4336.0,,,5455.0,
CWIP,BAJAJFINSV,,,,,,,2.0,,,1.0,,,,3.0,,,,11.0,,,4.0,,,28.0,,,66.0,,,45.0,,,129.0,,,113.0,,,191.0,,,220.0,
Investments,BAJAJFINSV,,,,,,,43251.0,,,45314.0,,,,51367.0,,,,53698.0,,,62658.0,,,69428.0,,,81679.0,,,91821.0,,,113654.0,,,119222.0,,,136176.0,,,168385.0,
Other Assets,BAJAJFINSV,,,,,,,20910.0,,,27805.0,,,,35598.0,,,,48969.0,,,64306.0,,,90266.0,,,124587.0,,,156223.0,,,162879.0,,,210493.0,,,264698.0,,,363355.0,
Total Assets,BAJAJFINSV,,,,,,,65370.0,,,74383.0,,,,88228.0,,,,103951.0,,,128614.0,,,161514.0,,,208428.0,,,251304.0,,,279845.0,,,333413.0,,,405401.0,,,537415.0,
Equity Capital,BAJFINANCE,,,,,,,,,,,,,,50.0,,,,54.0,,,109.0,,,115.0,,,115.0,,,120.0,,,120.0,,,121.0,,,121.0,,,124.0,
Reserves,BAJFINANCE,,,,,,,,,,,,,,4750.0,,,,7271.0,,,9491.0,,,15733.0,,,19582.0,,,32208.0,,,36798.0,,,43592.0,,,54251.0,,,76275.0,
Borrowings,BAJFINANCE,,,,,,,,,,,,,,26655.0,,,,37025.0,,,49250.0,,,66557.0,,,101588.0,,,129806.0,,,131634.0,,,165232.0,,,216690.0,,,293346.0,
Other Liabilities,BAJFINANCE,,,,,,,,,,,,,,1325.0,,,,2624.0,,,4881.0,,,2393.0,,,2948.0,,,2257.0,,,2918.0,,,3562.0,,,4164.0,,,5998.0,
Total Liabilities,BAJFINANCE,,,,,,,,,,,,,,32780.0,,,,46973.0,,,63731.0,,,84798.0,,,124233.0,,,164391.0,,,171470.0,,,212506.0,,,275226.0,,,375742.0,
Fixed Assets,BAJFINANCE,,,,,,,,,,,,,,252.0,,,,290.0,,,366.0,,,470.0,,,695.0,,,1321.0,,,1316.0,,,1716.0,,,2308.0,,,3250.0,
CWIP,BAJFINANCE,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,51.0,,,34.0,,,80.0,,,43.0,
Investments,BAJFINANCE,,,,,,,,,,,,,,326.0,,,,1029.0,,,4070.0,,,3139.0,,,8599.0,,,17544.0,,,18397.0,,,12246.0,,,22752.0,,,30881.0,
Other Assets,BAJFINANCE,,,,,,,,,,,,,,32201.0,,,,45654.0,,,59295.0,,,81189.0,,,114939.0,,,145526.0,,,151707.0,,,198510.0,,,250087.0,,,341568.0,
Total Assets,BAJFINANCE,,,,,,,,,,,,,,32780.0,,,,46973.0,,,63731.0,,,84798.0,,,124233.0,,,164391.0,,,171470.0,,,212506.0,,,275226.0,,,375742.0,
Equity Capital,BALAMINES,,,,,,,6.0,,,6.0,,,,6.0,,,,6.0,,,6.0,,,6.0,,,6.0,,,6.0,,,6.0,,,6.0,,,6.0,,,6.0,
Reserves,BALAMINES,,,,,,,165.0,,,195.0,,,,221.0,,,,274.0,,,356.0,,,461.0,,,568.0,,,652.0,,,888.0,,,1243.0,,,1548.0,,,1715.0,
Borrowings,BALAMINES,,,,,,,209.0,,,262.0,,,,256.0,,,,173.0,,,105.0,,,152.0,,,227.0,,,260.0,,,127.0,,,101.0,,,58.0,,,20.0,
Other Liabilities,BALAMINES,,,,,,,139.0,,,158.0,,,,139.0,,,,152.0,,,168.0,,,229.0,,,244.0,,,195.0,,,289.0,,,395.0,,,351.0,,,405.0,
Total Liabilities,BALAMINES,,,,,,,519.0,,,620.0,,,,623.0,,,,605.0,,,635.0,,,848.0,,,1046.0,,,1113.0,,,1310.0,,,1745.0,,,1963.0,,,2146.0,
Fixed Assets,BALAMINES,,,,,,,234.0,,,325.0,,,,341.0,,,,341.0,,,325.0,,,316.0,,,320.0,,,573.0,,,543.0,,,681.0,,,780.0,,,896.0,
CWIP,BALAMINES,,,,,,,63.0,,,8.0,,,,3.0,,,,16.0,,,25.0,,,123.0,,,269.0,,,46.0,,,173.0,,,141.0,,,113.0,,,205.0,
Investments,BALAMINES,,,,,,,20.0,,,20.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,48.0,,,0.0,,,0.0,,,73.0,,,0.0,
Other Assets,BALAMINES,,,,,,,202.0,,,267.0,,,,278.0,,,,248.0,,,284.0,,,409.0,,,457.0,,,446.0,,,594.0,,,923.0,,,996.0,,,1046.0,
Total Assets,BALAMINES,,,,,,,519.0,,,620.0,,,,623.0,,,,605.0,,,635.0,,,848.0,,,1046.0,,,1113.0,,,1310.0,,,1745.0,,,1963.0,,,2146.0,
Equity Capital,BATAINDIA,,,,,,64.0,,,64.0,,,,,64.0,,,,64.0,,,64.0,,,64.0,,,64.0,,,64.0,,,64.0,,,64.0,,,64.0,,,64.0,
Reserves,BATAINDIA,,,,,,635.0,,,776.0,,,,,957.0,,,,1157.0,,,1260.0,,,1410.0,,,1678.0,,,1830.0,,,1694.0,,,1750.0,,,1374.0,,,1463.0,
Borrowings,BATAINDIA,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,1249.0,,,1032.0,,,1094.0,,,1246.0,,,1357.0,
Other Liabilities,BATAINDIA,,,,,,430.0,,,542.0,,,,,616.0,,,,512.0,,,599.0,,,667.0,,,732.0,,,589.0,,,542.0,,,616.0,,,587.0,,,466.0,
Total Liabilities,BATAINDIA,,,,,,1130.0,,,1382.0,,,,,1637.0,,,,1733.0,,,1923.0,,,2141.0,,,2474.0,,,3732.0,,,3332.0,,,3525.0,,,3272.0,,,3350.0,
Fixed Assets,BATAINDIA,,,,,,243.0,,,248.0,,,,,309.0,,,,304.0,,,268.0,,,296.0,,,317.0,,,1369.0,,,1120.0,,,1226.0,,,1392.0,,,1509.0,
CWIP,BATAINDIA,,,,,,18.0,,,24.0,,,,,48.0,,,,19.0,,,30.0,,,12.0,,,17.0,,,20.0,,,34.0,,,5.0,,,4.0,,,4.0,
Investments,BATAINDIA,,,,,,0.0,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Other Assets,BATAINDIA,,,,,,868.0,,,1110.0,,,,,1280.0,,,,1410.0,,,1625.0,,,1833.0,,,2140.0,,,2343.0,,,2179.0,,,2294.0,,,1876.0,,,1837.0,
Total Assets,BATAINDIA,,,,,,1130.0,,,1382.0,,,,,1637.0,,,,1733.0,,,1923.0,,,2141.0,,,2474.0,,,3732.0,,,3332.0,,,3525.0,,,3272.0,,,3350.0,
Equity Capital,BEL,,,,,,,80.0,,,80.0,,,,80.0,,,,240.0,,,223.0,,,244.0,,,244.0,,,244.0,,,244.0,,,244.0,,,731.0,,,731.0,
Reserves,BEL,,,,,,,6407.0,,,7140.0,,,,8037.0,,,,9006.0,,,7512.0,,,7772.0,,,8968.0,,,9828.0,,,10816.0,,,12042.0,,,13131.0,,,15595.0,
Borrowings,BEL,,,,,,,1.0,,,0.0,,,,25.0,,,,28.0,,,64.0,,,80.0,,,34.0,,,8.0,,,3.0,,,53.0,,,61.0,,,63.0,
Other Liabilities,BEL,,,,,,,8367.0,,,7760.0,,,,7587.0,,,,9330.0,,,9800.0,,,10868.0,,,11575.0,,,14271.0,,,18430.0,,,21574.0,,,21567.0,,,23136.0,
Total Liabilities,BEL,,,,,,,14855.0,,,14980.0,,,,15729.0,,,,18605.0,,,17600.0,,,18965.0,,,20821.0,,,24351.0,,,29492.0,,,33912.0,,,35490.0,,,39524.0,
Fixed Assets,BEL,,,,,,,600.0,,,695.0,,,,1073.0,,,,1232.0,,,1501.0,,,1839.0,,,2298.0,,,2713.0,,,2652.0,,,2675.0,,,2963.0,,,3035.0,
CWIP,BEL,,,,,,,328.0,,,458.0,,,,140.0,,,,430.0,,,743.0,,,940.0,,,849.0,,,828.0,,,883.0,,,1006.0,,,855.0,,,894.0,
Investments,BEL,,,,,,,0.0,,,0.0,,,,0.0,,,,462.0,,,491.0,,,937.0,,,964.0,,,1110.0,,,1306.0,,,1572.0,,,650.0,,,682.0,
Other Assets,BEL,,,,,,,13926.0,,,13828.0,,,,14516.0,,,,16481.0,,,14865.0,,,15248.0,,,16710.0,,,19700.0,,,24651.0,,,28659.0,,,31022.0,,,34913.0,
Total Assets,BEL,,,,,,,14855.0,,,14980.0,,,,15729.0,,,,18605.0,,,17600.0,,,18965.0,,,20821.0,,,24351.0,,,29492.0,,,33912.0,,,35490.0,,,39524.0,
Equity Capital,BERGEPAINT,,,,,,,69.0,,,69.0,,,,69.0,,,,69.0,,,97.0,,,97.0,,,97.0,,,97.0,,,97.0,,,97.0,,,97.0,,,117.0,
Reserves,BERGEPAINT,,,,,,,884.0,,,1051.0,,,,1191.0,,,,1493.0,,,1804.0,,,2097.0,,,2347.0,,,2563.0,,,3280.0,,,3830.0,,,4397.0,,,5262.0,
Borrowings,BERGEPAINT,,,,,,,550.0,,,624.0,,,,610.0,,,,354.0,,,406.0,,,422.0,,,753.0,,,767.0,,,634.0,,,1014.0,,,1189.0,,,753.0,
Other Liabilities,BERGEPAINT,,,,,,,683.0,,,851.0,,,,846.0,,,,960.0,,,1132.0,,,1326.0,,,1360.0,,,1472.0,,,1907.0,,,2271.0,,,2283.0,,,2236.0,
Total Liabilities,BERGEPAINT,,,,,,,2186.0,,,2595.0,,,,2716.0,,,,2877.0,,,3440.0,,,3943.0,,,4557.0,,,4900.0,,,5918.0,,,7211.0,,,7966.0,,,8368.0,
Fixed Assets,BERGEPAINT,,,,,,,599.0,,,864.0,,,,931.0,,,,963.0,,,1136.0,,,1267.0,,,1583.0,,,1916.0,,,2044.0,,,2187.0,,,3332.0,,,3500.0,
CWIP,BERGEPAINT,,,,,,,172.0,,,133.0,,,,100.0,,,,51.0,,,62.0,,,97.0,,,170.0,,,178.0,,,107.0,,,606.0,,,111.0,,,189.0,
Investments,BERGEPAINT,,,,,,,11.0,,,91.0,,,,134.0,,,,348.0,,,472.0,,,333.0,,,395.0,,,315.0,,,356.0,,,234.0,,,183.0,,,255.0,
Other Assets,BERGEPAINT,,,,,,,1404.0,,,1507.0,,,,1550.0,,,,1515.0,,,1769.0,,,2245.0,,,2409.0,,,2490.0,,,3411.0,,,4185.0,,,4341.0,,,4424.0,
Total Assets,BERGEPAINT,,,,,,,2186.0,,,2595.0,,,,2716.0,,,,2877.0,,,3440.0,,,3943.0,,,4557.0,,,4900.0,,,5918.0,,,7211.0,,,7966.0,,,8368.0,
Equity Capital,BHARTIARTL,,,,,,,1899.0,,,1999.0,,,,1999.0,,,,1999.0,,,1999.0,,,1999.0,,,1999.0,,,2728.0,,,2746.0,,,2795.0,,,2837.0,,,2877.0,
Reserves,BHARTIARTL,,,,,,,48423.0,,,57757.0,,,,37778.0,,,,64771.0,,,65458.0,,,67536.0,,,69424.0,,,74417.0,,,56207.0,,,63759.0,,,74726.0,,,79142.0,
Borrowings,BHARTIARTL,,,,,,,66736.0,,,75896.0,,,,83415.0,,,,100646.0,,,107288.0,,,111334.0,,,125428.0,,,148228.0,,,162785.0,,,169678.0,,,226020.0,,,215592.0,
Other Liabilities,BHARTIARTL,,,,,,,40912.0,,,45840.0,,,,58747.0,,,,57056.0,,,57578.0,,,68653.0,,,77176.0,,,133718.0,,,122679.0,,,124975.0,,,140974.0,,,144408.0,
Total Liabilities,BHARTIARTL,,,,,,,157970.0,,,181492.0,,,,181939.0,,,,224472.0,,,232322.0,,,249521.0,,,274026.0,,,359091.0,,,344417.0,,,361207.0,,,444557.0,,,442019.0,
Fixed Assets,BHARTIARTL,,,,,,,125674.0,,,140614.0,,,,124279.0,,,,172293.0,,,178235.0,,,187200.0,,,200832.0,,,229256.0,,,223480.0,,,244083.0,,,277394.0,,,303303.0,
CWIP,BHARTIARTL,,,,,,,2992.0,,,0.0,,,,17415.0,,,,5702.0,,,10838.0,,,9751.0,,,9634.0,,,4282.0,,,5726.0,,,5955.0,,,49425.0,,,16904.0,
Investments,BHARTIARTL,,,,,,,7710.0,,,15531.0,,,,10752.0,,,,11977.0,,,14339.0,,,16159.0,,,15711.0,,,25476.0,,,27550.0,,,29349.0,,,32954.0,,,31602.0,
Other Assets,BHARTIARTL,,,,,,,21594.0,,,25347.0,,,,29494.0,,,,34500.0,,,28910.0,,,36411.0,,,47850.0,,,100077.0,,,87661.0,,,81820.0,,,84784.0,,,90210.0,
Total Assets,BHARTIARTL,,,,,,,157970.0,,,181492.0,,,,181939.0,,,,224472.0,,,232322.0,,,249521.0,,,274026.0,,,359091.0,,,344417.0,,,361207.0,,,444557.0,,,442019.0,
Equity Capital,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,11.0,,,11.0,,,11.0,,,11.0,,,11.0,
Reserves,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,598.0,,,637.0,,,683.0,,,756.0,,,852.0,,,569.0,
Borrowings,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,51.0,,,9.0,,,1.0,,,105.0,,,165.0,
Other Liabilities,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,,,140.0,,,156.0,,,186.0,,,242.0,,,335.0,
Total Liabilities,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,839.0,,,859.0,,,955.0,,,1211.0,,,1080.0,
Fixed Assets,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,,,327.0,,,348.0,,,276.0,,,512.0,,,548.0,
CWIP,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,46.0,,,13.0,,,25.0,,,49.0,,,25.0,
Investments,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,,,119.0,,,245.0,,,197.0,,,179.0,,,85.0,
Other Assets,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0,,,347.0,,,253.0,,,457.0,,,471.0,,,421.0,
